segment,n_customers,total_segment_revenue,avg_revenue_per_customer,avg_total_paid,avg_monthly_bill,avg_monthly_hours,avg_efficiency_score,pct_months_over_limit,avg_overage_paid,avg_discount_earned,avg_hours_utilization,segment_share
heavy,199,9000185.75124107,45227.064076588285,53367.935610374174,889.4655935062364,280.5431800630473,64.06168227798167,0.33098827470686765,236.21533286969498,2300.910050251256,0.8560123050859424,0.199
light,319,8458016.496356262,26514.158295787656,31286.70678902943,521.4451131504904,66.15574450444466,74.66758184362804,0.20318704284221525,1327.6002080133585,2411.7491222570534,0.6453213610968368,0.319
moderate,482,17447561.340151172,36198.260041807414,42713.946849332744,711.8991141555457,147.13109533232173,70.32098840563935,0.26414246196403873,2535.5728011435076,2488.9310165975103,0.7392874706416641,0.482
