plan,n_customers,total_revenue,avg_revenue_per_customer,avg_monthly_bill,avg_monthly_hours,pct_over_limit,avg_efficiency,plan_fee,plan_hours
lite,320,8309512.097643109,25967.225305134714,510.68876433431603,71.87902504905618,0.23927083333333332,74.44904025843537,449,100
premium,215,9776004.7,45469.789302325575,894.239189612403,264.1783345978349,0.31511627906976747,64.95494994141038,799,350
standard,465,16646973.676873565,35799.94339112595,704.0655533588102,146.34265231271152,0.2840860215053763,70.26439284484152,599,200
